rpm,m,c_m2,c_u2,rho2,p2,T2,pt2,Tt2,c_m3,c_u3,rho3,p3,T3,pt3,Tt3,c_m4,c_u4,rho4,p4,T4,pt4,Tt4,dL_dtanbeta1
-32500,8.696,26.887,0,285.526,7491780,307.221,7594530,308.106,35.295,-93.393,343.55,10139800,327.545,11695300,337.065,22.244,-65.212,356.134,10858900,332.206,11672300,337.048,
-32500,8.644,26.721,0,285.562,7493100,307.233,7594580,308.106,35.221,-93.467,343.53,10139800,327.547,11696100,337.072,22.047,-65.243,356.137,10860500,332.219,11674100,337.061,
-32500,6.603,29.006,-0.337,284.836,7483630,307.325,7711710,309.282,33.656,-97.462,341.707,10106600,327.442,11697900,337.217,16.44,-67.068,354.688,10874000,332.475,11710100,337.459,
